dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,20082009,27.3,687,0.6,16.4,15.3,22.6,28.1,33.3,46.6,53.4,78.09999999999998,78.09999999999998,0.0,78.09999999999998,0.0,21.9,0.0
02M414,NYC MUSEUM SCHOOL,20082009,37.4,442,1.4,11.1,24.7,19.0,38.2,17.4,47.5,52.5,92.0,77.3,8.0,69.3,14.7,4.0,4.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,20082009,23.6,506,,2.0,20.9,8.1,12.1,58.1,35.4,64.6,100.0,96.2,65.7,30.5,3.8,0.0,0.0
02M418,MILLENNIUM HIGH SCHOOL,20082009,32.7,573,0.2,9.6,27.4,13.1,23.9,33.9,37.5,62.5,96.2,84.8,21.0,63.8,11.4,1.9,1.9
02M419,LANDMARK HIGH SCHOOL,20082009,65.0,440,9.8,15.9,1.4,23.2,72.7,2.7,46.6,53.4,52.0,0.0,0.0,0.0,52.0,33.0,12.0
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,20082009,65.1,1620,3.5,7.2,20.7,24.3,48.6,6.0,30.3,69.7,77.0,63.6,17.8,45.7,13.4,21.6,0.4
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,20082009,51.2,663,3.5,15.1,8.3,29.9,56.3,4.8,49.3,50.7,59.6,29.8,6.6,23.2,29.8,14.6,19.2
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,20082009,71.8,380,3.4,18.7,3.9,46.1,45.8,3.2,47.4,52.6,38.0,4.2,0.0,4.2,33.8,26.8,33.8
02M439,MANHATTAN VILLAGE ACADEMY,20082009,64.0,393,2.0,9.2,6.6,28.0,59.3,5.1,35.1,64.9,89.7,73.59999999999998,8.0,65.5,16.1,4.6,4.6
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,20082009,64.5,1507,22.0,12.7,8.2,29.3,58.1,2.9,49.8,50.2,48.2,12.9,4.6,8.4,35.3,30.9,18.7
02M442,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,20082009,37.9,145,5.5,2.8,17.9,40.7,23.4,16.6,40.7,59.3,,,,,,,
02M449,VANGUARD HIGH SCHOOL,20082009,66.3,436,6.7,17.7,3.9,32.1,57.1,5.3,44.7,55.3,47.1,44.1,0.0,44.1,2.9,38.2,7.4
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,20082009,86.2,308,60.7,0.3,25.3,14.9,43.2,16.2,50.6,49.4,63.6,47.0,0.0,47.0,16.7,30.3,6.1
02M460,WASHINGTON IRVING HIGH SCHOOL,20082009,60.9,1676,20.9,12.3,3.9,31.6,61.8,1.7,46.0,54.0,36.6,16.8,3.9,12.9,19.7,35.9,24.5
